DRUG_COSMICID,pred_norm_cells_0,pred_norm_cells_1,pred_norm_cells_2,pred_norm_cells_3,pred_norm_cells_4,pred_norm_cells_5,pred_norm_cells_6,pred_norm_cells_7,pred_norm_cells_8,pred_norm_cells_9
346_687997,0.9997202,0.97444475,0.91548026,0.660016,0.50779694,0.3390293,0.30271813,0.24534151,0.2080621,0.18236841
180_908156,0.9997202,0.97354156,0.7766382,0.55693024,0.2526207,0.1221124,0.11087866,0.118018724,0.12638254,0.12378969
328_909704,0.9997202,0.9720754,0.87995356,0.6458262,0.4389579,0.3603147,0.26069945,0.20999044,0.20403327,0.20697398
194_753570,0.9997202,0.9742039,0.93190676,0.8786385,0.8055942,0.62986124,0.3346465,0.24192524,0.13815889,0.14678185
1015_971777,0.9997202,0.974618,0.881679,0.7872218,0.50617594,0.44237992,0.3539186,0.31101036,0.25761843,0.2508359
1026_1480367,0.9997202,0.97510123,0.849118,0.7476796,0.59826696,0.47313523,0.3457745,0.279562,0.19527604,0.19612677
200_687588,0.9997202,0.9742835,0.88106745,0.7680751,0.5226583,0.49110106,0.26958078,0.17225131,0.05031165,0.03389954
170_1330982,0.9997202,0.97022474,0.9218185,0.5688347,0.26944298,0.19826366,0.06443548,-0.020670064,-0.025185335,-0.027787963
83_713878,0.9997202,0.97516257,0.9284966,0.814219,0.69979274,0.56858456,0.41943562,0.353866,0.28681248,0.28848764
274_1240138,0.9997202,0.97171867,0.93201756,0.8413656,0.7007453,0.52988863,0.32425427,0.15521392,0.06592652,0.058689177
219_907281,0.9997202,0.9720617,0.94758517,0.8429549,0.6646291,0.4124509,0.22929017,0.1907066,0.2199068,0.1988892
1031_687505,0.9997202,0.9693191,0.9107295,0.8638899,0.729877,0.5807794,0.34065807,0.2856003,0.19269468,0.19182287
1031_910567,0.9997202,0.97359246,0.9069914,0.87355906,0.7103631,0.46479118,0.28916973,0.19329487,0.14707439,0.13135177
208_905939,0.9997202,0.9743425,0.9500972,0.8925944,0.8953595,0.69530886,0.40820003,0.26610202,0.227433,0.2234859
182_1290797,0.9997202,0.9755897,0.90950704,0.81157357,0.70562416,0.5819252,0.529033,0.17635569,0.037053723,0.031510804
9_908141,0.9997202,0.9737967,0.8729473,0.79389,0.6924759,0.6456352,0.43081903,0.1973833,0.056644656,0.055421527
272_906790,0.9997202,0.9758317,0.94890267,0.9291625,0.83010125,0.5572423,0.18723698,0.107188985,0.07048023,0.06420333
274_1330941,0.9997202,0.96975654,0.9191422,0.81978536,0.6773124,0.394151,0.22599159,0.15443668,0.11506513,0.111456
346_1240219,0.9997202,0.9763309,0.92840326,0.74659884,0.51412684,0.33152983,0.19211763,0.17701952,0.18916903,0.16306548
165_1240149,0.9997202,0.97428775,0.86041147,0.69067353,0.58004236,0.4556048,0.25670016,0.14485362,0.07190298,0.055307154
272_1480372,0.9997202,0.97368616,0.92795193,0.81031877,0.7351667,0.49723575,0.3674244,0.27657315,0.21580556,0.2186988
272_1298168,0.9997202,0.97392595,0.91784537,0.86076915,0.7432037,0.5111615,0.30093637,0.16735102,0.11938253,0.08494663
276_1240206,0.9997202,0.97422194,0.89810795,0.854548,0.6291429,0.47314927,0.27387974,0.13377675,0.07359257,0.06087333
